A;B;Customers
CSI  - 04;Active_GS  - 05;962
Fee_based_Services  - 02;AUM  + 03;961
Credit_Cards  + 07;AUM  - 08;961
Active_Payroll_Pension  + 04;Debit_Cards_Prepaid_Cards  + 05;961
Tax_Payments  - 09;Salary  - 10;961
Tax_Payments  - 09;Public_Sector_Payments  + 10;961
Tax_Payments  - 03;Public_Sector_Payments  - 04;960
CSI  + 01;Fee_based_Services  + 02;960
Public_Sector_Payments  + 01;Credit_Cards  - 02;960
Credit_Cards  + 04;AUM  + 05;959
Credit_Cards  - 04;Card_Purchases  + 05;959
ATM_Trans_Days  + 07;Fee_based_Services  + 08;959
AUM  + 11;Total_Loan_Balances  + 12;959
Debit_Cards_Prepaid_Cards  + 06;Total_Loan_Balances  - 07;958
Debit_Cards_Prepaid_Cards  + 03;Tax_Payments  + 04;958
Active_Payroll_Pension  + 09;AUM  - 10;958
Active_GS  + 04;Debit_Cards_Prepaid_Cards  + 05;958
CSI  - 10;EBanking_Usage  - 11;957
Public_Sector_Payments  + 07;Total_Loan_Balances  + 08;957
Remmitances_In  + 04;Debit_Cards_Prepaid_Cards  - 05;956
Card_Purchases  + 06;Credit_Cards  + 07;956
Fee_based_Services  - 02;Fee_based_Services  + 03;956
EBanking_Usage  - 09;EBanking_Usage  - 10;955
Remmitances_In  - 10;Card_Purchases  + 11;955
Card_Purchases  + 09;Active_GS  + 10;955
Debit_Cards_Prepaid_Cards  + 10;AUM  + 11;955
Active_GS  + 04;Branch_Transaction_Days  - 05;954
Card_Purchases  + 09;Active_Payroll_Pension  + 10;954
Credit_Cards  + 04;EBanking_Usage  + 05;954
Active_GS  + 09;AUM  - 10;954
EBanking_Usage  - 09;Debit_Cards_Prepaid_Cards  - 10;954
Salary  + 05;Public_Sector_Payments  + 06;952
Branch_Transaction_Days  - 01;Credit_Cards  - 02;951
Debit_Cards_Prepaid_Cards  - 10;ATM_Trans_Days  - 11;951
Remmitances_Out  - 10;Card_Purchases  + 11;951
Tax_Payments  - 11;AUM  + 12;951
Debit_Cards_Prepaid_Cards  + 01;Credit_Cards  + 02;951
Fee_based_Services  + 03;ATM_Trans_Days  - 04;951
AUM  + 10;Remmitances_Out  + 11;948
Credit_Cards  - 04;Credit_Cards  + 05;948
Salary  + 03;Active_Payroll_Pension  - 04;948
Public_Sector_Payments  - 08;Remmitances_Out  + 09;947
Total_Loan_Balances  + 09;EBanking_Usage  - 10;947
Tax_Payments  - 09;Public_Sector_Payments  - 10;947
Credit_Cards  + 01;Public_Sector_Payments  - 02;945
Active_GS  + 06;Branch_Transaction_Days  - 07;945
ATM_Trans_Days  + 10;Public_Sector_Payments  + 11;944
Active_Payroll_Pension  + 06;Branch_Transaction_Days  - 07;943
ATM_Trans_Days  - 02;Fee_based_Services  - 03;943
EBanking_Usage  - 03;Active_Payroll_Pension  + 04;943
CSI  - 10;Total_Loan_Balances  - 11;942
Remmitances_In  + 03;Total_Loan_Balances  + 04;942
AUM  - 08;Credit_Cards  + 09;941
Salary  - 10;EBanking_Usage  + 11;941
Active_Payroll_Pension  + 05;EBanking_Usage  - 06;940
AUM  + 01;Fee_based_Services  - 02;940
EBanking_Usage  - 03;Active_GS  + 04;940
Debit_Cards_Prepaid_Cards  - 06;Total_Loan_Balances  - 07;939
Active_Payroll_Pension  + 03;Branch_Transaction_Days  + 04;939
Active_GS  + 05;EBanking_Usage  - 06;939
Tax_Payments  - 07;Remmitances_Out  - 08;938
Credit_Cards  - 03;AUM  + 04;938
Active_GS  - 03;Tax_Payments  + 04;937
Total_Loan_Balances  + 06;Remmitances_In  + 07;937
CSI  + 01;POS  + 02;937
Salary  - 09;Salary  - 10;935
AUM  - 11;Salary  - 12;935
Credit_Cards  + 02;Branch_Transaction_Days  + 03;934
Card_Purchases  + 06;Fee_based_Services  + 07;934
Tax_Payments  - 03;CSI  - 04;934
Total_Loan_Balances  - 10;CSI  - 11;934
ATM_Trans_Days  + 01;POS  + 02;934
Remmitances_Out  - 01;Total_Loan_Balances  - 02;934
Salary  - 09;Branch_Transaction_Days  - 10;933
Salary  - 07;Remmitances_In  - 08;933
Total_Loan_Balances  - 03;Debit_Cards_Prepaid_Cards  - 04;932
EBanking_Usage  + 08;Debit_Cards_Prepaid_Cards  + 09;932
AUM  + 08;Fee_based_Services  + 09;932
Tax_Payments  - 05;Remmitances_In  - 06;931
Active_GS  + 03;Branch_Transaction_Days  + 04;931
Debit_Cards_Prepaid_Cards  - 08;CSI  - 09;930
Remmitances_In  + 09;Remmitances_In  - 10;929
Fee_based_Services  - 03;AUM  - 04;928
AUM  - 01;POS  + 02;928
AUM  + 02;Fee_based_Services  - 03;928
Tax_Payments  + 10;AUM  + 11;927
Branch_Transaction_Days  + 10;CSI  + 11;926
Public_Sector_Payments  - 10;ATM_Trans_Days  - 11;926
Credit_Cards  - 04;ATM_Trans_Days  + 05;925
CSI  + 10;Branch_Transaction_Days  + 11;925
Remmitances_In  - 06;Debit_Cards_Prepaid_Cards  + 07;925
ATM_Trans_Days  + 04;Fee_based_Services  - 05;924
Total_Loan_Balances  + 10;CSI  - 11;924
Tax_Payments  + 08;Remmitances_Out  - 09;923
Card_Purchases  - 10;Debit_Cards_Prepaid_Cards  + 11;920
CSI  + 02;Credit_Cards  - 03;920
EBanking_Usage  + 09;Remmitances_In  - 10;919
Active_Payroll_Pension  + 09;ATM_Trans_Days  - 10;919
AUM  + 09;Active_GS  - 10;919
Public_Sector_Payments  + 05;Active_Payroll_Pension  - 06;919
Public_Sector_Payments  - 01;Debit_Cards_Prepaid_Cards  - 02;917
Active_GS  - 02;CSI  - 03;917
Total_Loan_Balances  - 10;CSI  + 11;917
Total_Loan_Balances  - 10;EBanking_Usage  + 11;916
Credit_Cards  + 01;Remmitances_In  - 02;916
Card_Purchases  + 10;Remmitances_In  - 11;916
CSI  - 06;Fee_based_Services  + 07;915
Remmitances_In  - 09;Tax_Payments  - 10;915
AUM  + 06;Credit_Cards  + 07;915
Active_GS  + 09;ATM_Trans_Days  - 10;915
Fee_based_Services  + 07;ATM_Trans_Days  + 08;915
Public_Sector_Payments  + 08;CSI  + 09;914
Branch_Transaction_Days  + 08;Debit_Cards_Prepaid_Cards  + 09;914
Card_Purchases  - 01;Fee_based_Services  + 02;914
AUM  + 09;Active_Payroll_Pension  - 10;913
Debit_Cards_Prepaid_Cards  + 04;Tax_Payments  + 05;911
Salary  + 03;Remmitances_In  + 04;911
EBanking_Usage  + 03;Active_Payroll_Pension  - 04;911
Public_Sector_Payments  - 03;Remmitances_In  - 04;911
Branch_Transaction_Days  - 06;Active_GS  + 07;911
Branch_Transaction_Days  - 06;Active_Payroll_Pension  + 07;910
Tax_Payments  + 02;Remmitances_In  + 03;909
Remmitances_In  - 08;Total_Loan_Balances  - 09;909
ATM_Trans_Days  + 05;Fee_based_Services  - 06;908
Salary  + 06;Active_GS  - 07;908
Public_Sector_Payments  + 05;Active_GS  - 06;908
Salary  - 07;Total_Loan_Balances  - 08;908
EBanking_Usage  + 07;Remmitances_Out  + 08;907
EBanking_Usage  + 08;Remmitances_In  + 09;907
Remmitances_Out  + 09;Card_Purchases  + 10;907
ATM_Trans_Days  - 01;Fee_based_Services  - 02;906
Remmitances_Out  - 02;Credit_Cards  + 03;906
Branch_Transaction_Days  + 07;Active_Payroll_Pension  - 08;906
Tax_Payments  - 05;Remmitances_Out  - 06;904
Fee_based_Services  + 08;AUM  + 09;903
Tax_Payments  + 03;Remmitances_Out  + 04;903
Remmitances_In  - 02;Active_GS  + 03;901
AUM  - 10;Debit_Cards_Prepaid_Cards  - 11;901
Debit_Cards_Prepaid_Cards  - 06;Tax_Payments  - 07;900
CSI  - 10;Branch_Transaction_Days  + 11;900
Tax_Payments  + 01;Remmitances_In  + 02;900
Total_Loan_Balances  + 11;ATM_Trans_Days  - 12;900
Salary  + 06;Active_Payroll_Pension  - 07;899
Remmitances_Out  - 07;Branch_Transaction_Days  - 08;899
Active_Payroll_Pension  + 03;Remmitances_Out  - 04;898
CSI  - 10;Tax_Payments  - 11;898
Active_GS  - 10;Card_Purchases  - 11;898
CSI  + 09;Remmitances_Out  - 10;898
Public_Sector_Payments  + 07;Salary  + 08;898
CSI  - 05;Active_GS  - 06;898
Debit_Cards_Prepaid_Cards  - 06;Tax_Payments  + 07;898
Remmitances_In  + 03;Remmitances_Out  + 04;898
Salary  - 08;Remmitances_In  + 09;898
EBanking_Usage  - 08;Remmitances_Out  + 09;897
Active_Payroll_Pension  + 02;Tax_Payments  - 03;897
Public_Sector_Payments  + 09;Branch_Transaction_Days  - 10;897
Salary  - 08;Total_Loan_Balances  - 09;896
Debit_Cards_Prepaid_Cards  + 07;CSI  + 08;896
Total_Loan_Balances  - 07;Debit_Cards_Prepaid_Cards  + 08;896
Active_GS  + 03;Remmitances_Out  - 04;895
Remmitances_In  + 04;Total_Loan_Balances  + 05;895
Branch_Transaction_Days  - 04;Branch_Transaction_Days  - 05;894
Public_Sector_Payments  - 09;Total_Loan_Balances  + 10;894
Public_Sector_Payments  - 06;CSI  - 07;893
Public_Sector_Payments  - 08;Tax_Payments  + 09;892
Active_Payroll_Pension  - 10;Card_Purchases  - 11;892
Debit_Cards_Prepaid_Cards  + 04;Remmitances_In  + 05;891
Debit_Cards_Prepaid_Cards  - 07;Remmitances_In  + 08;890
Remmitances_Out  + 07;EBanking_Usage  - 08;890
Public_Sector_Payments  - 01;Active_GS  - 02;889
Debit_Cards_Prepaid_Cards  - 02;Active_GS  + 03;889
ATM_Trans_Days  - 05;Credit_Cards  + 06;889
CSI  + 08;Remmitances_In  + 09;889
Branch_Transaction_Days  - 10;CSI  + 11;889
Remmitances_In  + 07;Remmitances_Out  - 08;889
Branch_Transaction_Days  + 07;Remmitances_Out  + 08;888
Remmitances_In  + 06;Total_Loan_Balances  + 07;888
Debit_Cards_Prepaid_Cards  + 02;Tax_Payments  + 03;887
Debit_Cards_Prepaid_Cards  - 01;Active_GS  + 02;887
Public_Sector_Payments  + 08;Salary  + 09;887
Total_Loan_Balances  - 08;Public_Sector_Payments  - 09;887
Remmitances_Out  - 04;Public_Sector_Payments  - 05;886
Remmitances_Out  + 03;Debit_Cards_Prepaid_Cards  + 04;885
Remmitances_In  - 09;CSI  + 10;885
Remmitances_Out  - 09;Branch_Transaction_Days  + 10;885
CSI  + 04;Active_Payroll_Pension  - 05;884
Active_GS  + 02;Tax_Payments  - 03;884
Fee_based_Services  - 02;AUM  - 03;884
AUM  - 03;POS  - 04;884
AUM  + 07;Credit_Cards  + 08;884
Debit_Cards_Prepaid_Cards  + 05;Tax_Payments  + 06;883
Debit_Cards_Prepaid_Cards  - 06;Remmitances_Out  + 07;883
Total_Loan_Balances  - 09;Public_Sector_Payments  + 10;883
Credit_Cards  + 05;AUM  + 06;883
Fee_based_Services  + 01;CSI  - 02;882
Public_Sector_Payments  - 02;Credit_Cards  + 03;882
Fee_based_Services  - 05;ATM_Trans_Days  + 06;882
Remmitances_Out  + 08;EBanking_Usage  + 09;881
Debit_Cards_Prepaid_Cards  + 03;Remmitances_In  + 04;881
Remmitances_Out  - 03;Total_Loan_Balances  - 04;881
Active_Payroll_Pension  + 08;Card_Purchases  - 09;880
Active_GS  - 10;AUM  - 11;880
Branch_Transaction_Days  + 05;Active_Payroll_Pension  - 06;880
Card_Purchases  - 05;Credit_Cards  - 06;880
Card_Purchases  + 09;Active_Payroll_Pension  - 10;879
Remmitances_Out  + 08;Branch_Transaction_Days  - 09;878
Card_Purchases  + 09;Active_GS  - 10;878
Total_Loan_Balances  - 01;Debit_Cards_Prepaid_Cards  - 02;878
Public_Sector_Payments  - 01;Active_Payroll_Pension  - 02;877
Remmitances_In  + 01;Tax_Payments  + 02;877
Debit_Cards_Prepaid_Cards  + 06;Total_Loan_Balances  + 07;877
Remmitances_Out  + 02;Remmitances_In  + 03;877
Active_Payroll_Pension  + 10;ATM_Trans_Days  + 11;876
Public_Sector_Payments  + 10;Public_Sector_Payments  - 11;876
Branch_Transaction_Days  + 07;Active_GS  - 08;876
Active_GS  + 08;Card_Purchases  - 09;876
Branch_Transaction_Days  + 05;Active_GS  - 06;875
POS  + 08;POS  - 09;875
Credit_Cards  + 07;ATM_Trans_Days  + 08;875
Remmitances_Out  + 03;Remmitances_In  + 04;875
Salary  + 02;Credit_Cards  + 03;874
EBanking_Usage  + 05;Public_Sector_Payments  + 06;874
CSI  + 04;Active_GS  - 05;874
Remmitances_Out  - 04;EBanking_Usage  - 05;873
Debit_Cards_Prepaid_Cards  + 02;Credit_Cards  + 03;873
Public_Sector_Payments  - 07;Total_Loan_Balances  - 08;872
POS  + 08;CSI  - 09;871
Salary  + 09;EBanking_Usage  - 10;871
Public_Sector_Payments  - 09;Branch_Transaction_Days  + 10;871
Debit_Cards_Prepaid_Cards  - 02;Active_Payroll_Pension  + 03;871
ATM_Trans_Days  - 05;Fee_based_Services  + 06;871
CSI  - 08;Public_Sector_Payments  - 09;871
CSI  - 09;Remmitances_In  + 10;871
ATM_Trans_Days  - 11;Branch_Transaction_Days  - 12;871
Branch_Transaction_Days  + 09;Public_Sector_Payments  - 10;870
Active_Payroll_Pension  - 10;AUM  - 11;870
AUM  - 06;Fee_based_Services  - 07;870
Remmitances_Out  + 01;Remmitances_In  + 02;870
Credit_Cards  + 01;Remmitances_Out  - 02;869
Public_Sector_Payments  - 05;CSI  - 06;869
Public_Sector_Payments  - 04;Total_Loan_Balances  - 05;868
Branch_Transaction_Days  - 10;CSI  - 11;868
Debit_Cards_Prepaid_Cards  - 08;Branch_Transaction_Days  + 09;868
Fee_based_Services  + 01;Card_Purchases  + 02;868
EBanking_Usage  - 01;Active_GS  + 02;868
Active_GS  + 10;ATM_Trans_Days  + 11;867
Public_Sector_Payments  - 09;CSI  + 10;867
Debit_Cards_Prepaid_Cards  + 07;Tax_Payments  - 08;867
Remmitances_In  - 03;Public_Sector_Payments  - 04;866
POS  + 02;AUM  - 03;866
Remmitances_In  + 08;EBanking_Usage  + 09;866
Active_Payroll_Pension  - 08;Card_Purchases  + 09;865
Remmitances_In  - 02;Active_Payroll_Pension  + 03;864
Active_GS  - 08;Card_Purchases  + 09;864
Fee_based_Services  + 04;ATM_Trans_Days  - 05;863
Debit_Cards_Prepaid_Cards  - 01;Active_Payroll_Pension  + 02;863
CSI  + 10;Total_Loan_Balances  - 11;862
Fee_based_Services  + 06;ATM_Trans_Days  - 07;862
Salary  - 06;Remmitances_Out  - 07;861
Remmitances_Out  - 10;ATM_Trans_Days  - 11;861
Branch_Transaction_Days  + 05;Remmitances_In  + 06;861
Card_Purchases  - 10;Remmitances_Out  + 11;860
Salary  + 09;Total_Loan_Balances  - 10;860
ATM_Trans_Days  - 10;Active_GS  - 11;860
Active_Payroll_Pension  - 03;Tax_Payments  + 04;860
CSI  + 03;Credit_Cards  + 04;859
Credit_Cards  + 09;Total_Loan_Balances  + 10;859
EBanking_Usage  - 01;Active_Payroll_Pension  + 02;858
EBanking_Usage  + 03;Credit_Cards  + 04;857
Debit_Cards_Prepaid_Cards  + 02;Remmitances_In  + 03;857
Branch_Transaction_Days  - 10;EBanking_Usage  - 11;857
ATM_Trans_Days  - 10;Active_Payroll_Pension  - 11;857
Card_Purchases  + 10;Remmitances_In  + 11;857
Public_Sector_Payments  - 04;EBanking_Usage  - 05;857
ATM_Trans_Days  - 04;Credit_Cards  - 05;857
Debit_Cards_Prepaid_Cards  + 05;Remmitances_Out  - 06;857
ATM_Trans_Days  + 02;Credit_Cards  - 03;856
Card_Purchases  - 10;Remmitances_In  - 11;856
Debit_Cards_Prepaid_Cards  + 04;Debit_Cards_Prepaid_Cards  - 05;855
Fee_based_Services  - 06;ATM_Trans_Days  + 07;855
Branch_Transaction_Days  + 03;Active_GS  - 04;854
CSI  + 11;Salary  + 12;854
ATM_Trans_Days  - 11;Total_Loan_Balances  + 12;853
AUM  + 02;Credit_Cards  - 03;853
Remmitances_Out  - 07;CSI  - 08;852
Total_Loan_Balances  - 11;ATM_Trans_Days  + 12;852
Fee_based_Services  - 04;ATM_Trans_Days  + 05;851
AUM  + 11;Total_Loan_Balances  - 12;851
Tax_Payments  + 01;Active_GS  - 02;850
Remmitances_Out  + 07;Remmitances_In  - 08;850
Branch_Transaction_Days  - 08;Public_Sector_Payments  - 09;850
CSI  - 08;Remmitances_Out  - 09;850
ATM_Trans_Days  + 10;Remmitances_Out  + 11;849
Remmitances_In  - 07;Remmitances_Out  - 08;849
Active_Payroll_Pension  + 08;EBanking_Usage  + 09;848
Active_GS  + 08;EBanking_Usage  + 09;847
EBanking_Usage  - 11;ATM_Trans_Days  + 12;847
EBanking_Usage  + 10;Total_Loan_Balances  - 11;847
Tax_Payments  + 01;Credit_Cards  - 02;847
Fee_based_Services  - 05;ATM_Trans_Days  - 06;846
Total_Loan_Balances  - 09;Salary  - 10;846
AUM  - 10;Tax_Payments  + 11;845
Active_Payroll_Pension  - 02;Public_Sector_Payments  + 03;844
Remmitances_Out  + 02;Tax_Payments  + 03;844
EBanking_Usage  + 07;Debit_Cards_Prepaid_Cards  - 08;844
Tax_Payments  - 08;Remmitances_Out  - 09;843
Total_Loan_Balances  + 06;Debit_Cards_Prepaid_Cards  + 07;843
CSI  - 06;Active_GS  - 07;842
Tax_Payments  - 08;Remmitances_In  - 09;842
Debit_Cards_Prepaid_Cards  - 04;Remmitances_Out  - 05;842
Credit_Cards  + 06;AUM  + 07;842
AUM  + 10;Debit_Cards_Prepaid_Cards  + 11;842
AUM  - 06;POS  + 07;841
Salary  + 05;Active_GS  - 06;841
Branch_Transaction_Days  + 06;Active_Payroll_Pension  + 07;841
Branch_Transaction_Days  - 08;Remmitances_In  + 09;841
Tax_Payments  - 04;Total_Loan_Balances  - 05;841
Branch_Transaction_Days  + 06;Active_GS  + 07;840
Public_Sector_Payments  - 06;Total_Loan_Balances  - 07;839
Remmitances_Out  - 08;Tax_Payments  + 09;838
Tax_Payments  - 10;Branch_Transaction_Days  + 11;838
Debit_Cards_Prepaid_Cards  - 09;EBanking_Usage  - 10;837
Public_Sector_Payments  - 01;Remmitances_In  - 02;837
Remmitances_In  - 01;Active_Payroll_Pension  - 02;836
Debit_Cards_Prepaid_Cards  + 07;CSI  - 08;836
Remmitances_Out  - 05;EBanking_Usage  - 06;836
Debit_Cards_Prepaid_Cards  + 04;Salary  - 05;836
Active_GS  - 01;Branch_Transaction_Days  + 02;835
Remmitances_In  - 02;Credit_Cards  + 03;835
Remmitances_In  + 02;Active_Payroll_Pension  + 03;835
Remmitances_Out  + 07;CSI  + 08;835
Credit_Cards  - 02;Card_Purchases  - 03;835
Tax_Payments  - 09;EBanking_Usage  - 10;835
POS  + 01;AUM  - 02;834
ATM_Trans_Days  + 09;Tax_Payments  + 10;834
Remmitances_In  - 01;Active_GS  - 02;834
Salary  + 07;Active_GS  - 08;833
Debit_Cards_Prepaid_Cards  - 04;Salary  - 05;833
Fee_based_Services  - 01;ATM_Trans_Days  - 02;833
Remmitances_Out  - 09;Tax_Payments  - 10;833
Active_Payroll_Pension  + 04;EBanking_Usage  - 05;833
Fee_based_Services  + 01;Card_Purchases  - 02;833
Public_Sector_Payments  - 04;Remmitances_In  - 05;833
Salary  + 07;Active_Payroll_Pension  - 08;833
Total_Loan_Balances  + 04;Debit_Cards_Prepaid_Cards  - 05;833
POS  + 05;Card_Purchases  + 06;832
Salary  + 05;Active_Payroll_Pension  - 06;832
Remmitances_Out  - 02;Total_Loan_Balances  - 03;832
Active_Payroll_Pension  - 01;CSI  - 02;832
Salary  + 11;Card_Purchases  + 12;831
Tax_Payments  - 02;Credit_Cards  + 03;831
Public_Sector_Payments  - 07;CSI  - 08;831
ATM_Trans_Days  - 10;Debit_Cards_Prepaid_Cards  + 11;831
Salary  - 08;Remmitances_In  - 09;831
Remmitances_In  + 02;Active_GS  + 03;831
POS  + 04;Card_Purchases  + 05;830
Active_GS  + 04;EBanking_Usage  - 05;830
Credit_Cards  - 01;AUM  - 02;830
CSI  - 06;Credit_Cards  + 07;830
Total_Loan_Balances  + 04;Remmitances_In  + 05;828
ATM_Trans_Days  - 06;Fee_based_Services  + 07;828
EBanking_Usage  + 10;Branch_Transaction_Days  - 11;828
Remmitances_Out  + 07;Branch_Transaction_Days  + 08;828
Salary  + 09;Total_Loan_Balances  + 10;827
EBanking_Usage  - 10;Branch_Transaction_Days  + 11;827
Debit_Cards_Prepaid_Cards  + 08;Card_Purchases  - 09;826
CSI  - 10;Total_Loan_Balances  + 11;825
Tax_Payments  + 07;Remmitances_In  + 08;825
Fee_based_Services  + 07;ATM_Trans_Days  - 08;825
Public_Sector_Payments  + 04;Fee_based_Services  - 05;825
Debit_Cards_Prepaid_Cards  + 07;Branch_Transaction_Days  - 08;824
Tax_Payments  - 04;Remmitances_Out  - 05;824
Fee_based_Services  + 05;ATM_Trans_Days  - 06;823
EBanking_Usage  + 01;POS  + 02;823
Salary  + 04;Active_GS  - 05;823
Credit_Cards  - 05;Credit_Cards  + 06;822
Remmitances_In  + 05;Total_Loan_Balances  + 06;822
Active_GS  + 01;Total_Loan_Balances  + 02;821
Branch_Transaction_Days  + 04;Active_GS  - 05;821
Debit_Cards_Prepaid_Cards  + 03;Active_Payroll_Pension  + 04;820
Remmitances_In  - 05;Public_Sector_Payments  - 06;819
Remmitances_Out  + 06;Tax_Payments  + 07;819
Debit_Cards_Prepaid_Cards  - 04;Active_GS  + 05;818
Salary  - 10;Branch_Transaction_Days  + 11;818
Remmitances_In  + 01;Active_GS  - 02;818
Public_Sector_Payments  + 08;Total_Loan_Balances  + 09;818
Active_Payroll_Pension  + 03;CSI  - 04;818
Remmitances_Out  + 08;Total_Loan_Balances  - 09;817
Branch_Transaction_Days  + 10;Total_Loan_Balances  - 11;817
Card_Purchases  - 10;Public_Sector_Payments  - 11;817
Salary  + 04;Active_Payroll_Pension  - 05;816
Salary  + 11;AUM  - 12;816
Branch_Transaction_Days  + 04;Active_Payroll_Pension  - 05;816
ATM_Trans_Days  - 06;Credit_Cards  + 07;816
Total_Loan_Balances  - 10;Branch_Transaction_Days  + 11;815
Tax_Payments  - 10;Total_Loan_Balances  - 11;815
EBanking_Usage  + 11;Salary  + 12;814
Debit_Cards_Prepaid_Cards  - 04;Active_Payroll_Pension  + 05;814
Debit_Cards_Prepaid_Cards  + 03;Active_GS  + 04;814
Branch_Transaction_Days  - 07;Remmitances_In  - 08;813
Credit_Cards  + 01;Salary  - 02;811
Remmitances_In  - 03;Branch_Transaction_Days  - 04;811
Salary  + 02;Active_Payroll_Pension  + 03;811
Debit_Cards_Prepaid_Cards  + 05;Public_Sector_Payments  - 06;811
Branch_Transaction_Days  - 01;Fee_based_Services  + 02;810
EBanking_Usage  + 04;Active_GS  - 05;810
Active_GS  + 01;Card_Purchases  - 02;810
Remmitances_In  + 07;Public_Sector_Payments  - 08;810
ATM_Trans_Days  - 05;Fee_based_Services  - 06;809
Remmitances_Out  + 03;Total_Loan_Balances  + 04;809
Public_Sector_Payments  + 09;Salary  + 10;809
EBanking_Usage  + 06;Public_Sector_Payments  + 07;809
Active_Payroll_Pension  + 10;Card_Purchases  + 11;808
Tax_Payments  + 01;POS  + 02;807
Card_Purchases  - 02;Fee_based_Services  - 03;807
ATM_Trans_Days  - 11;Total_Loan_Balances  - 12;807
EBanking_Usage  + 02;Fee_based_Services  + 03;807
EBanking_Usage  + 07;Public_Sector_Payments  + 08;807
Total_Loan_Balances  + 01;Active_GS  - 02;806
Tax_Payments  - 10;CSI  + 11;804
AUM  - 09;Fee_based_Services  + 10;804
EBanking_Usage  - 10;Branch_Transaction_Days  - 11;804
Total_Loan_Balances  + 03;Debit_Cards_Prepaid_Cards  - 04;803
ATM_Trans_Days  + 04;POS  + 05;803
Branch_Transaction_Days  - 01;POS  - 02;803
Active_GS  + 03;CSI  - 04;803
Branch_Transaction_Days  + 09;Remmitances_Out  - 10;802
Remmitances_Out  - 05;Public_Sector_Payments  - 06;802
Debit_Cards_Prepaid_Cards  - 04;Public_Sector_Payments  - 05;802
Remmitances_Out  - 06;Total_Loan_Balances  - 07;802
AUM  - 10;Debit_Cards_Prepaid_Cards  + 11;802
Branch_Transaction_Days  - 10;Total_Loan_Balances  + 11;801
EBanking_Usage  + 07;Active_Payroll_Pension  + 08;801
Active_GS  + 10;Card_Purchases  + 11;801
Remmitances_In  + 02;Remmitances_Out  + 03;801
Remmitances_Out  - 04;Total_Loan_Balances  - 05;801
CSI  + 11;ATM_Trans_Days  - 12;801
Active_Payroll_Pension  + 02;Total_Loan_Balances  + 03;801
Salary  + 02;Active_GS  + 03;801
Credit_Cards  - 03;ATM_Trans_Days  - 04;800
Total_Loan_Balances  + 03;Remmitances_In  + 04;800
Fee_based_Services  - 03;ATM_Trans_Days  - 04;800
Active_GS  - 04;EBanking_Usage  - 05;800
ATM_Trans_Days  + 08;Fee_based_Services  + 09;800
Active_GS  + 05;Debit_Cards_Prepaid_Cards  + 06;799
ATM_Trans_Days  + 11;Total_Loan_Balances  - 12;799
Credit_Cards  - 02;Public_Sector_Payments  + 03;798
Credit_Cards  - 06;CSI  + 07;798
EBanking_Usage  - 02;Active_GS  + 03;798
Remmitances_Out  + 09;Remmitances_Out  - 10;797
Remmitances_Out  - 02;Active_GS  - 03;797
Credit_Cards  + 02;Total_Loan_Balances  - 03;796
Branch_Transaction_Days  - 03;Credit_Cards  + 04;796
Total_Loan_Balances  + 09;Public_Sector_Payments  - 10;796
EBanking_Usage  + 04;Active_Payroll_Pension  - 05;795
Tax_Payments  + 06;Debit_Cards_Prepaid_Cards  + 07;795
Total_Loan_Balances  + 01;Credit_Cards  - 02;795
EBanking_Usage  + 07;Active_GS  + 08;795
POS  + 06;AUM  - 07;795
Debit_Cards_Prepaid_Cards  + 07;Total_Loan_Balances  - 08;795
Debit_Cards_Prepaid_Cards  - 10;ATM_Trans_Days  + 11;794
Active_GS  + 02;Total_Loan_Balances  + 03;794
Tax_Payments  + 05;Active_Payroll_Pension  + 06;794
Total_Loan_Balances  - 08;Remmitances_In  - 09;793
EBanking_Usage  - 08;Remmitances_Out  - 09;792
CSI  - 11;AUM  - 12;792
Active_GS  + 02;Active_GS  - 03;792
Tax_Payments  - 07;Debit_Cards_Prepaid_Cards  + 08;792
Debit_Cards_Prepaid_Cards  + 07;Salary  + 08;792
Fee_based_Services  + 09;AUM  - 10;791
Remmitances_Out  + 03;Salary  + 04;791
Remmitances_Out  - 09;Total_Loan_Balances  + 10;791
EBanking_Usage  - 02;Active_Payroll_Pension  + 03;791
Remmitances_Out  + 04;Remmitances_In  + 05;791
Credit_Cards  + 08;AUM  - 09;791
EBanking_Usage  - 09;Public_Sector_Payments  - 10;791
Home_Loans  - 03;Total_Loan_Balances  - 04;791
Debit_Cards_Prepaid_Cards  - 05;Active_Payroll_Pension  + 06;790
Active_Payroll_Pension  + 05;Debit_Cards_Prepaid_Cards  + 06;790
Tax_Payments  + 09;Card_Purchases  + 10;790
Remmitances_In  - 01;Debit_Cards_Prepaid_Cards  - 02;790
Credit_Cards  + 07;Card_Purchases  + 08;789
Tax_Payments  + 05;Active_GS  + 06;789
ATM_Trans_Days  + 10;Active_Payroll_Pension  + 11;789
Branch_Transaction_Days  - 09;Salary  - 10;789
Salary  - 09;Total_Loan_Balances  - 10;789
Credit_Cards  + 05;EBanking_Usage  + 06;788
Branch_Transaction_Days  - 11;ATM_Trans_Days  - 12;788
Debit_Cards_Prepaid_Cards  - 03;Active_Payroll_Pension  + 04;788
Active_Payroll_Pension  - 02;CSI  - 03;787
Public_Sector_Payments  + 01;POS  + 02;787
Debit_Cards_Prepaid_Cards  - 03;Active_GS  + 04;787
Salary  + 02;Debit_Cards_Prepaid_Cards  - 03;787
CSI  - 09;Remmitances_Out  + 10;787
